"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"CALU"	9.98469796705403e-138	-0.983440576553861	0.41	0.815	2.33402299677855e-133	"2"	"CALU"
"SPP1"	1.66016683118999e-137	-1.00554812927173	0.287	0.751	3.88080598458972e-133	"2"	"SPP1"
"CD99"	2.14531685287314e-137	-0.962983169232448	0.77	0.957	5.01489267527625e-133	"2"	"CD99"
"GPC3"	2.64720491767825e-137	1.20199823291889	0.641	0.291	6.18810621556467e-133	"2"	"GPC3"
"C1QTNF3"	5.77776671618825e-136	-2.08994597516525	0.02	0.461	1.35061074757617e-131	"2"	"C1QTNF3"
"FAP"	5.99925350841898e-133	-0.889550855794194	0.244	0.721	1.40238550012802e-128	"2"	"FAP"
"LCN2"	1.28160075613154e-132	-0.819858622862453	0.022	0.463	2.99586992753308e-128	"2"	"LCN2"
"MMP2"	1.8055243002203e-130	-0.974229957114372	0.713	0.954	4.22059360419498e-126	"2"	"MMP2"
"MATN3"	2.44985568437277e-130	-1.75746113076089	0.022	0.451	5.72678264778978e-126	"2"	"MATN3"
"P4HB"	2.2119450167275e-129	-0.883873202531372	0.519	0.864	5.1706426711022e-125	"2"	"P4HB"
"CPA2"	2.30392247468644e-129	0.914589665851569	0.336	0.079	5.38564917682701e-125	"2"	"CPA2"
"FXYD3"	2.40725793837618e-129	-0.933953625948163	0.016	0.446	5.62720615674816e-125	"2"	"FXYD3"
"SFRP4"	7.88687460095006e-128	-1.92759646954446	0.361	0.772	1.84363580671809e-123	"2"	"SFRP4"
"SDC1"	9.00162541465707e-128	-1.31199343641842	0.038	0.462	2.10421995693024e-123	"2"	"SDC1"
"CHPF"	2.47291571097061e-126	-0.853151985344234	0.203	0.679	5.78068776596489e-122	"2"	"CHPF"
"ISG15"	2.95438404532215e-126	-1.3132337557099	0.228	0.683	6.90616814434506e-122	"2"	"ISG15"
"METTL7A"	7.00687884168852e-126	1.00429939949516	0.71	0.426	1.63792799803311e-121	"2"	"METTL7A"
"LOXL1"	2.80744730576886e-125	-1.00778838849238	0.236	0.68	6.56268882196528e-121	"2"	"LOXL1"
"COMP"	4.01537715479066e-125	-1.78842021217965	0.045	0.48	9.38634563703864e-121	"2"	"COMP"
"VMP1"	2.5034473961925e-124	-0.871806510567393	0.666	0.955	5.8520586333396e-120	"2"	"VMP1"
"CAPZB"	5.05528916125978e-124	-0.818157174766766	0.589	0.895	1.18172439433609e-119	"2"	"CAPZB"
"HSPB6"	2.65723014605962e-123	1.10453449775239	0.666	0.357	6.21154118942898e-119	"2"	"HSPB6"
"TFPI"	4.13240876399555e-123	1.00232073921111	0.774	0.539	9.659918726716e-119	"2"	"TFPI"
"NEGR1"	4.60993645868451e-123	0.990116377525473	0.558	0.253	1.07761874658209e-118	"2"	"NEGR1"
"SOX4"	1.89577279815966e-122	-1.03913374652113	0.206	0.653	4.43155849297802e-118	"2"	"SOX4"
"SVEP1"	3.37269264442096e-122	1.16365769520619	0.574	0.274	7.88400632559843e-118	"2"	"SVEP1"
"RUNX1"	5.68527342092157e-121	-0.829145743654787	0.119	0.569	1.32898951487463e-116	"2"	"RUNX1"
"S100A13"	2.50506340929447e-119	0.848962069546089	0.903	0.841	5.85583622556675e-115	"2"	"S100A13"
"AMBP"	1.86822591342457e-117	0.75000980348873	0.308	0.071	4.36716489522128e-113	"2"	"AMBP"
"GREM1"	3.84484856703503e-117	-1.27114739955894	0.036	0.443	8.98771801030108e-113	"2"	"GREM1"
"FBN1"	1.08124530775255e-116	-0.942717678377322	0.405	0.793	2.52751903140237e-112	"2"	"FBN1"
"PLAUR"	5.936767527685e-116	-0.978936854730793	0.128	0.56	1.38777877727165e-111	"2"	"PLAUR"
"KRT19"	1.34575793949128e-115	-0.851865335179053	0.108	0.543	3.14584375935482e-111	"2"	"KRT19"
"ARL4C"	8.80879793849418e-113	-0.890742665054874	0.027	0.419	2.0591446061024e-108	"2"	"ARL4C"
"NREP"	3.00936127509418e-112	-0.83246367168426	0.094	0.511	7.03468291666015e-108	"2"	"NREP"
"LGALS1"	2.53768733298571e-111	-0.875001472311512	0.994	0.998	5.93209790958739e-107	"2"	"LGALS1"
"SULF2"	1.26970272405946e-110	-0.804108429916716	0.07	0.481	2.96805708776139e-106	"2"	"SULF2"
"C4orf48"	8.48210004650297e-110	-0.751627245876848	0.3	0.729	1.98277570687054e-105	"2"	"C4orf48"
